編號,成語,釋義,用法說明-語義說明,三歲版解釋
2060,一刀兩段,"猶「一刀兩斷」。見「一刀兩斷」條。01.《全唐詩．卷八○六．寒山詩三○三首之二四一》：「男兒大丈夫，一刀兩段截。人面禽獸心，造作何時歇。」（源）02.《警世通言．卷一一．蘇知縣羅衫再合》：「我是一刀兩段的性子，不學那粘皮帶骨。」<a name=""一劍兩段"">　</a>",,
2061,言聽計用,"猶「言聽計從」。見「言聽計從」條。01.《史記．卷九二．淮陰侯列傳》：「漢王授我上將軍印，予我數萬眾，解衣衣我，推食食我，言聽計用，故吾得以至於此。」（源）02.明．無名氏《五馬破曹．楔子》：「多蒙丞相顧愛，累授遷除，言聽計用。」<a name=""言行計從"">　</a>",,
2062,言若懸河,"猶「口若懸河」。見「口若懸河」條。01.《隋書．卷六七．裴蘊列傳》：「蘊亦機辨，所論法理，言若懸河，或重或輕，皆由其口，剖析明敏，時人不能致詰。」<a name=""口似懸河"">　</a>",,
2063,率由舊則,"猶「率由舊章」。見「率由舊章」條。01.三國魏．曹植〈責躬〉詩：「受禪于漢，君臨萬邦。萬邦既化，率由舊則。」　<a name=""率由舊典"">　</a>",,
2064,旁觀袖手,"猶「袖手旁觀」。見「袖手旁觀」條。01.宋．陸游〈福州請仁王堅老疏〉：「勇退急流，雖具衲子參尋之眼；旁觀袖手，要非邦人嚮慕之誠。」02.清．朱素臣《十五貫》第一九齣：「聞言意慘然，敢旁觀袖手，使兩命輕捐。」<a name=""傍觀縮手"">　</a>",,
2065,意氣軒昂,猶「氣宇軒昂」。見「氣宇軒昂」條。01.《二刻拍案驚奇》卷二六：「我見這人身雖寒儉，意氣軒昂，模樣又好。」02.《隋唐演義》第三七回：「只見一個少年，生得容貌魁偉，意氣軒昂，牽著一匹馬。」,,
2066,衣冠濟楚,"猶「衣冠楚楚」。見「衣冠楚楚」條。01.《西廂記．第二本．第二折》：「衣冠濟楚龐兒俊，可知道引動俺鶯鶯。」02.明．周履靖《錦箋記》第九齣：「翩翩美少年，衣冠濟楚，性格幽閒。」<a name=""衣冠齊楚"">　</a>",,
2067,衣豐食足,"猶「豐衣足食」。見「豐衣足食」條。01.明．楊柔勝《玉環記》第五齣：「我與你是門戶中呵，誰似你衣豐食足口頭肥。」02.《醉醒石》第八回：「他在大家，衣豐食足，身閑心閑，春宵秋夜，那能不胡思亂想？」<a name=""衣豐食飽"">　</a>",,
2068,衣錦榮歸,猶「衣錦還鄉」。見「衣錦還鄉」條。01.元．石君寶《秋胡戲妻》第三折：「謝得魯昭公可憐，賜小官黃金一餅，以充膳母之資。如今衣錦榮歸，見母親走一遭去。」02.《兒女英雄傳》第三七回：「一年半的功夫，果然鄉試連捷，並且探花及第，衣錦榮歸了。」,,
2069,一成不易,猶「一成不變」。見「一成不變」條。01.《明史．卷三一．曆志一》：「夫天之行度多端，而人之智力有限……惟合古今人之心思，踵事增修，庶幾符合。故不能為一成不易之法也。」02.清．章學誠《文史通義．外篇一．和州志前志列傳序例下》：「窮經之業，後或勝前；豈作志之才一成不易耶？」,,
2070,一勞久逸,"猶「一勞永逸」。見「一勞永逸」條。01.《後漢書．卷二三．竇融列傳》：「茲所謂一勞而久逸，暫費而永寧者也。」<a name=""暫勞永逸"">　</a>",,
2071,一揮而成,猶「一揮而就」。見「一揮而就」條。01.《宋史．卷四一八．文天祥列傳》：「天祥以法天不息為對，其言萬餘，不為稿，一揮而成。」02.明．無心子《金雀記》第二二齣：「老夫前承聖旨，命為此賦，於中秋日進覽。適纔搆思，不覺熟睡，今得子一揮而成，且文不加點，老夫明日引子奏上金鑾。」,,
2072,死灰槁木,"即「槁木死灰」。見「槁木死灰」條。01.《莊子．齊物論》晉．郭象．注：「死灰槁木，取其寂寞無情耳。」02.《西遊記》第五五回：「那女怪，活潑潑，春意無邊；這長老，死丁丁，禪機有在。一個似軟玉溫香，一個如死灰槁木。」<a name=""木形灰心"">　</a>",,
2073,死有餘責,"形容責任重大，到死都無法卸責。見「死有餘辜」條。01.《漢書．卷八六．何武王嘉師丹傳．王嘉》：「吏稍侵辱嘉，嘉喟然卬天歎曰：『幸得充備宰相，不能進賢退不肖，以是負國，死有餘責。』」02.宋．蘇軾〈到昌化軍謝表〉：「並鬼門而東騖，浮瘴海以南遷。生無還期，死有餘責。」<br><a name=""死有餘咎"">　</a>",,
2074,夜以接日,"猶「夜以繼日」。見「夜以繼日」條。01.《晏子春秋．內篇．諫下》：「今齊國，丈夫耕，女子織，夜以接日，不足以奉上。」<a name=""以夜繼日"">　</a>",,
2075,玉石同焚,"即「玉石俱焚」。見「玉石俱焚」條。01.《梁書．卷一．武帝本紀上》：「時運艱難，宗社危殆，崐崗已燎，玉石同焚。」02.唐．孔紹安〈別徐永元秀才〉詩：「金湯既失險，玉石乃同焚。墜葉還相覆，落羽更為群。」<a name=""玉石俱燼"">　</a>",,
2076,三言兩句,"猶「三言兩語」。見「三言兩語」條。01.《永樂大典戲文三種．小孫屠．第八齣》：「半月前有媒婆來曾說親，不擬三言兩句便說成。」02.明．湯顯祖《邯鄲記》第五齣：「提起書生無數，俺三言兩句，壓倒其餘。」<a name=""三言五語"">　</a>",,
2077,三言五語,猶「三言兩語」。見「三言兩語」條。01.《兒女英雄傳》第三七回：「那知一想，纔覺長篇累牘，不合體裁，三言五語，包括不住。」,,
2078,萬紅千紫,即「萬紫千紅」。見「萬紫千紅」條。01.金．元好問〈鳳凰臺上憶吹簫．寶靨留香〉詞：「東風萬紅千紫，算只有寒梅，瘦得何郎。」02.《英烈傳》第二回：「春花初放，萬紅千紫鬥芳菲。」,,
2079,萬緒千頭,即「千頭萬緒」。見「千頭萬緒」條。01.元．賈仲名《升仙夢》第四折：「桃腮點嫩朱，柳眉愁未足，萬緒千頭，一點情舒。」02.《兒女英雄傳》第一一回：「心中萬緒千頭，在牲口上悶悶不語。」,,
2080,萬里鵬程,即「鵬程萬里」。見「鵬程萬里」條。01.宋．葛立方〈減字木蘭花．搖毫鑄藻〉詞：「搖毫鑄藻，縱有微之應壓倒。萬里鵬程，南省今書淡墨名。」02.明．無名氏《下西洋．頭折》：「全憑著帆槳依存，我則索萬里鵬程雪浪分。」,,
2081,死有餘罪,"即「死有餘辜」。見「死有餘辜」條。01.《史記．卷一○六．吳王濞列傳》：「乃出詔書為王讀之。讀之訖，曰：『王其自圖。』王曰：『如卬等死有餘罪。』遂自殺。」02.《五代史平話．唐史．卷上》：「臣待罪外鎮，不能宣國威靈，致車駕蒙塵，生靈塗炭，死有餘罪，敢逃司敗之誅？」<a name=""死有餘責"">　</a>",,
2082,高枕安寢,"猶「高枕無憂」。見「高枕無憂」條。01.《漢書．卷九四．匈奴傳》：「故北狄不服，中國未得高枕安寢也。」02.晉．陶潛《搜神後記．卷三．形魂離異》：「夫大愕，便入。與婦共視被中人，高枕安寢，正是其形，了無一異。」<a name=""高枕安臥"">　</a>",,
2083,開卷有得,"猶「開卷有益」。見「開卷有益」條。01.《宋書．卷九三．隱逸列傳．陶潛》：「少年來好書，偶愛閑靜，開卷有得，便欣然忘食。見樹木交蔭，時鳥變聲，亦復歡爾有喜。」（源）<a name=""展卷有益"">　</a>",,
2084,弄璋之慶,猶「弄璋之喜」。見「弄璋之喜」條。01.明．趙弼《效顰集．卷下．木綿庵記》：「喜公有弄璋之慶，萬事足矣。」,,
2085,平心定氣,"猶「平心靜氣」。見「平心靜氣」條。01.宋．朱熹〈答傅子淵書〉其三：「不容作兩種商量，去彼取此也。暇日平心定氣，試一思之。」02.宋．陸九淵《象山先生．卷三．書．與劉深甫》：「開卷讀書時，整冠肅容，平心定氣。」<a name=""平心易氣"">　</a>",,
2086,弄斧班門,"即「班門弄斧」。見「班門弄斧」條。01.明．高濂《玉簪記》第一六齣：「小生略記一二，弄斧班門，休笑，休笑。」02.《儒林外史》第二八回：「先生大名，如雷灌耳。小弟獻醜，真是弄斧班門。」　<a name=""班門取罪"">　</a>",,
2087,無補於事,"即「無濟於事」。見「無濟於事」條。01.宋．劉摯〈論分析助役〉：「嘗切思之，近歲臺諫官疊以言事罷免，豈其言皆無補於事歟？」（源）02.《蕩寇志》第一一回：「你此刻官微職小，如何鬥得他過，枉是送了性命，仍舊無補於事。」<a name=""無益於事"">　</a>",,
2088,百事無成,"猶「一事無成」。見「一事無成」條。01.唐．劉禹錫〈陪崔大尚書及諸閣老宴杏園〉詩：「更將何面上春臺，百事無成老又催。」<a name=""事事無成"">　</a>",,
2089,耳旁風,即「耳邊風」。見「耳邊風」條。01.《紅樓夢》第八回：「我平日和你說的，全當耳旁風。怎麼他說了你就依，比聖旨還快些！」,,
2090,下井投石,"猶「落井下石」。見「落井下石」條。01.《官場現形記》第一二回：「他一見憲眷比從前差了許多，曉得其中一定有人下井投石，說他的壞話。」<a name=""投井下石"">　</a>",,
2091,百計千方,"即「千方百計」。見「千方百計」條。01.宋．趙長卿〈探春令．雨孱風瘦〉詞：「凡花且莫相嘲謔，儘強伊寂寞。便饒他、百計千方做就，醞藉如何學。」02.《西遊記》第四一回：「若論你百計千方，騙了我喫，管教你一個個遭腫頭天瘟。」<a name=""千謀百計"">　</a>",,
2092,百紫千紅,"即「萬紫千紅」。見「萬紫千紅」條。01.宋．辛棄疾〈定風波．百紫千紅過了春〉詞：「百紫千紅過了春，杜鵑聲苦不堪聞。」02.宋．王安石〈越人以幕養花因遊其下〉詩二首之一：「幕天無日地無塵，百紫千紅占得春。」<a name=""萬紅千翠"">　</a>",,
2093,無地自處,"猶「無地自容」。見「無地自容」條。01.《宋書．卷六九．劉湛列傳》：「老父悖耄，遂就殷鐵干祿。由敬文闇淺，上負生成，合門慚懼，無地自處。」<a name=""無穴可入"">　</a>",,
2094,面面廝覷,猶「面面相覷」。見「面面相覷」條。,,
2095,面面相窺,猶「面面相覷」。見「面面相覷」條。,,
2096,下筆成篇,"猶「下筆成章」。見「下筆成章」條。01.三國魏．曹植〈王仲宣誄〉：「文若春華，思若涌泉。發言可詠，下筆成篇。」02.晉．左思〈悼離贈妹詩〉二首之二：「穆穆令妹，有德有言。才麗漢班，明朗楚樊。默識若記，下筆成篇。行顯中閨，名播八蕃。」<a name=""下筆成詠"">　</a>",,
2097,無與為比,猶「無與倫比」。見「無與倫比」條。,,
2098,否去泰來,"即「否極泰來」。見「否極泰來」條。01.唐．韋莊〈湘中作〉詩：「否去泰來終可待，夜寒休唱飯牛歌。」<a name=""泰去否來"">　</a>",,
2099,更弦易轍,義參「改弦易轍」。見「改弦易轍」條。,,
2100,雷鳴瓦釜,"即「瓦釜雷鳴」。見「瓦釜雷鳴」條。01.宋．辛棄疾〈水龍吟．被公驚倒瓢泉〉詞：「回頭落日，蒼茫萬里，塵埃野馬。更想隆中，臥龍千尺，高吟纔罷。倩何人與問，雷鳴瓦釜，甚黃鍾啞。」02.清．顧炎武〈與歸莊手札〉七首之四：「予將守口如瓶，不作雷鳴之瓦釜矣。」<a name=""瓦缶雷鳴"">　</a>",,
2101,不中抬舉,"猶「不識抬舉」。見「不識抬舉」條。01.《說岳全傳》第六六回：「秦太師有書叫我害你一門；我心不安，故此叫你進來伏侍我。你一家性命，俱在我手掌之中；反如此不中抬舉！」02.《儒林外史》第一回：「時知縣此時心中十分惱怒，本要立即差人拿了王健齥責懲一番；……慢慢向老師說明此人不中抬舉，再處置他也不遲。」<a name=""不受抬舉"">　</a>",,
2102,西山日薄,"猶「日薄西山」。見「日薄西山」條。01.宋．洪咨夔〈賀新郎．誰識昂昂鶴〉詞：「世事幾番新局面，看底卻高三著。況轉首、西山日薄。」<a name=""西山日迫"">　</a>",,
2103,不寒而栗,"即「不寒而慄」。見「不寒而慄」條。01.《史記．卷一二二．酷吏列傳．義縱》：「是日皆報殺四百餘人。其後郡中不寒而栗，猾民佐吏為治。」（源）02.宋．蘇軾《東坡志林》卷四：「人而有知也，升是堂者，將見其不遡而僾，不寒而栗。」<a name=""不寒而冽"">　</a>",,
2104,天授地設,"猶「天造地設」。見「天造地設」條。01.宋．邵博《邵氏聞見後錄》卷二五：「凡登覽而惝恍，俯瞰而峭絕，天授地設，不待人力而巧者，洛陽獨有此園爾。」<a name=""天生地設"">　</a>",,
2105,畫蛇著足,"猶「畫蛇添足」。見「畫蛇添足」條。01.唐．韓愈〈感春〉詩四首之四：「今者無端讀書史，智慧只足勞精神。畫蛇著足無處用，兩鬢雪白趨埃塵。」　<a name=""為蛇添足"">　</a>",,
2106,不受抬舉,猶「不識抬舉」。見「不識抬舉」條。01.《九命奇冤》第五回：「天殺的！不受抬舉！我看銀子面上巴結他，他倒在老娘面前鬧起脾氣來了！」,,
2107,否終則泰,"猶「否極泰來」。見「否極泰來」條。01.漢．趙曄《吳越春秋．句踐入臣外傳》：「時過於期，否終則泰。」（源）<a name=""否終而泰"">　</a>",,
2108,不謀而同,"猶「不謀而合」。見「不謀而合」條。01.《漢書．卷一○○．敘傳上》：「十餘年間，外內騷擾，遠近俱發，假號雲合，咸稱劉氏，不謀而同辭。」（源）02.宋．蘇軾〈居士集敘〉：「士無賢不肖不謀而同曰：『歐陽子，今之韓愈也。』」<a name=""不謀同辭"">　</a>",,
2109,天驚石破,即「石破天驚」。見「石破天驚」條。01.《冷眼觀》第二三回：「瞎先生仍是那怕你天驚石破，怎當他酣睡如雷的一絲兒不應。」02.清．查慎行〈荊州護國寺古鼎歌〉：「神焦鬼爛逃后羿，天驚石破愁皇媧。」,,
2110,五行俱下,"猶「一目十行」。見「一目十行」條。01.漢．孔融〈汝潁優劣論〉：「汝南應世叔，讀書五行俱下，潁川士雖多聰明，未有能離婁並照者也。」（源）02.宋．陸游《老學庵筆記》卷二：「王性之讀書，真能五行俱下，往往他人纔三四行，性之已盡一紙。」<a name=""五行並下"">　</a>",,
2111,不加思索,"猶「不假思索」。見「不假思索」條。01.《官場現形記》第四九回：「當時張太太盛怒之下，不加思索，以致有此一番舉動。」02.《醒世姻緣傳》第八一回：「趙啞子鋪開格眼，研墨操筆，不加思索，往上就寫。」<a name=""不暇思索"">　</a>",,
2112,萬馬千軍,即「千軍萬馬」。見「千軍萬馬」條。01.元．無名氏《千里獨行》第四折：「他恰才萬馬千軍擺下戰場，則見他忙把門旗放，顯出那棄印封金有智量。」02.《兒女英雄傳》第一六回：「講他的心胸本領，莫說殺一個仇人，就萬馬千軍，衝鋒打仗，也了得了。」,,
2113,水窮山盡,即「山窮水盡」。見「山窮水盡」條。01.明．侯峒曾〈陶菴枉和除夕詩疊韻再呈〉詩二首之二：「顧此茫茫集百端，水窮山盡又年殘。」02.《通俗常言疏證．貧富．水窮山盡》引《殺狗記》：「任你滿帆風使，終有個水窮山盡。」,,
2114,水覆難收,"猶「覆水難收」。見「覆水難收」條。01.唐．李白〈妾薄命〉詩：「雨落不上天，水覆難再收；君情與妾意，各自東西流。」<a name=""潑水難收"">　</a>",,
2115,水底撈針,即「海底撈針」。見「海底撈針」條。01.《醒世□言》第九回：「就是小兒僥倖脫體，也是水底撈針，不知何日到手，豈可擔閣人家閨女？」,,
2116,背恩忘義,"猶「忘恩負義」。見「忘恩負義」條。01.《漢書．卷七六．趙尹韓張兩王傳．張敞》：「舜本臣敞素所厚吏，數蒙恩貸，以臣有章劾當免，受記考事，便歸臥家，謂臣『五日京兆』，背恩忘義，傷化薄俗。」（源）02.《醒世恆言．卷一九．白玉孃忍苦成夫》：「幸得主人釋放，留為家丁，又以妻子配我，此恩天高地厚，未曾報得，豈可為此背恩忘義之事。」<a name=""孤恩負義"">　</a>",,
2117,玉石俱碎,"猶「玉石俱焚」。見「玉石俱焚」條。01.三國魏．陳琳〈檄吳將校部曲文〉：「大兵一放，玉石俱碎，雖欲救之，亦無及已。」<a name=""玉石同碎"">　</a>",,
2118,武偃文修,即「偃武修文」。見「偃武修文」條。01.元．王旭〈春從天上來．斗轉寅方〉詞：「休言太平無象，看武偃文修，歲稔時康。」02.明．湯顯祖《還魂記》第五一齣：「正此引奏，前日先生看定狀元試卷，蒙聖旨武偃文修，今其時矣！」,,
2119,玉立亭亭,即「亭亭玉立」。見「亭亭玉立」條。01.宋．趙希蓬〈南歌子．玉立亭亭樹〉詞：「玉立亭亭樹，水澌小小池。園林遍地幻珍奇。戰罷奇鱗無數、滿天飛。」02.元．喬吉〈折桂令．崔徽休寫丹青〉曲：「水灑不著春妝整整，風吹的倒玉立亭亭。」,,
2120,水盡山窮,"猶「山窮水盡」。見「山窮水盡」條。01.明．郝景春〈寄二子〉詩二首之二：「平生大節自操持，水盡山窮任所之。」<a name=""水窮山盡"">　</a>",,
2121,玩世不羈,猶「玩世不恭」。見「玩世不恭」條。01.明．歸有光〈夢雲沈先生六十壽序〉：「淞江之上，有隱君子，曰夢雲先生沈氏，其達生適嗜玩世不&a03214-027.jpg;（羈）之士乎！」,,
2122,驢心狗肺,"猶「狼心狗肺」。見「狼心狗肺」條。01.《二刻拍案驚奇》卷四：「何故苦苦貪私，思量獨吃自疴！反把家裡東西送與沒些相干之人。不知驢心狗肺怎樣生的！」<a name=""狼心狗意"">　</a>",,
2123,砥柱中流,即「中流砥柱」。見「中流砥柱」條。,,
2124,不入時宜,猶「不合時宜」。見「不合時宜」條。01.宋．費袞《梁谿漫志．卷四．侍兒對東坡語》：「東坡一日退朝，食罷，捫腹徐行，顧謂侍兒曰：『汝輩且道是中有何物？』……至朝雲乃曰：『學士一肚皮不入時宜。』坡捧腹大笑。」,,
2125,玉律金科,即「金科玉律」。見「金科玉律」條。01.五代十國前蜀．杜光庭〈川主太師南斗大醮〉詞：「玉律金科，慮爽重輕之信；五申三令，慚乖訓撫之宜。」02.《官場現形記》第四三回：「老伯大人的議論，真是我們佐班中的玉律金科！」,,
2126,不可枚舉,"即「不勝枚舉」。見「不勝枚舉」條。01.宋．王楙《野客叢書．卷三九．俗語有所自》：「似此等語，不可枚舉。」（源）02.清．袁枚《隨園隨筆．卷上．諸史類．綱目非子朱所作》：「蓋朱子方責文中子作《元經》擬《春秋》之妄，豈肯躬自蹈之？書中舞文弄字之弊，不可枚舉。」<a name=""未能枚舉"">　</a>",,
2127,巧語花言,"即「花言巧語」。見「花言巧語」條。01.元．王實甫《西廂記．第三本．第二折》：「對人前巧語花言；—沒人處便想張生，—背地裡愁眉淚眼。」02.明．梁辰魚《浣紗紀》第三二齣：「你這等小小年紀，那裡去學這些巧語花言，可惡可惡！」<a name=""花唇巧舌"">　</a>",,
2128,不知所從,"猶「無所適從」。見「無所適從」條。01.《後漢書．卷二．顯宗孝明帝紀》：「議者不同，南北異論，朕不知所從，久而不決。」<a name=""莫適所從"">　</a>",,
2129,戮力一心,"猶「戮力同心」。見「戮力同心」條。01.《國語．晉語四》：「晉、鄭兄弟也，吾先君武公與晉文侯戮力一心，股肱周室，夾輔平王。」02.清．薛福成《籌洋芻議．邊防》：「中國籌邊之要，在中外上下戮力一心，精求自強之術而勉行之。」<br><a name=""戮力同德"">　</a>",,
2130,引經據古,"猶「引經據典」。見「引經據典」條。01.宋．樓鑰《攻媿集．卷三六．將作少監黃艾右正言》：「爾其振厲風采，別白是非，引經據古，以佐朕之不逮。」02.清．紀昀《閱微草堂筆記．卷一五．姑妄聽之一．序》：「緬昔作者，如王仲任、應仲遠，引經據古，博辨宏通。」<a name=""引經據禮"">　</a>",,
2131,翼翼小心,即「小心翼翼」。見「小心翼翼」條。01.漢．趙曄《吳越春秋．卷一○．句踐歸國外傳》：「越王是日立政，翼翼小心，出不敢奢，入不敢侈。」02.明．張鳳翼《灌園記》第一○齣：「你須知翼翼小心，休辭憚晨興夜寢，為人役服勞奉承，休只管飢餐渴飲。」,,
2132,刃迎縷解,猶「迎刃而解」。見「迎刃而解」條。,,
2133,殊路同歸,"即「殊途同歸」。見「殊途同歸」條。01.《史記．卷二三．禮書》：「蓋受命而王，各有所由興，殊路而同歸，謂因民而作，追俗為制也。」02.漢．桓寬《鹽鐵論．利議》：「諸生對冊，殊路同歸，指在崇禮義，退財利，復往古之道，匡當世之失，莫不云太平。」<a name=""同歸殊途"">　</a>",,
2134,柔茹寡斷,"猶「優柔寡斷」。見「優柔寡斷」條。01.《韓非子．亡徵》：「緩心而無成，柔茹而寡斷，好惡無決，而無所定立者，可亡也。」（源）<a name=""優游不斷"">　</a>",,
2135,跫然足音,即「空谷足音」。見「空谷足音」條。01.《聊齋志異．卷四．胡四相公》：「忽聞虛室中有人言曰：『勞君枉駕，可謂跫然足音矣。請坐賜教。』即見兩座自移相向。」02.清．陳確〈與吳仲木書〉：「頃奉近思家叔一椷，深相規切，砭人膏肓，得此於同人中，何翅跫然足音。」,,
2136,動心駭目,"猶「觸目驚心」。見「觸目驚心」條。01.《石門文字禪．卷二七．跋百牛圖》：「畫工能為神鬼之狀，使人動心駭目者，以其無常形，無常形可以欺世也。」02.宋．陸游〈跋蘭亭樂毅論并趙岐王帖〉：「王遺墨藏家廟者，今雖僅存，某嘗獲觀，皆奇麗超絕，動心駭目。」<a name=""觸目駭心"">　</a>",,
2137,不肯一世,"猶「不可一世」。見「不可一世」條。01.宋．黃庭堅〈跋范文正公帖〉：「蘇才翁筆法妙天下，不肯一世人，惟稱文正公書與〈樂毅論〉同法。」<a name=""不屑一世"">　</a>",,
2138,動地驚天,即「驚天動地」。見「驚天動地」條。01.元．無名氏《陰山破虜》第三折：「奪魁喊聲競起，動地驚天怒似雷，無賽比，霎時間霧騰殺氣，不辨個南北東西。」02.元．關漢卿《竇娥冤》第三折：「沒來由犯王法，不隄防遭刑憲，叫聲屈動地驚天！」,,
2139,珠還合浦,"猶「合浦珠還」。見「合浦珠還」條。01.宋．吳曾《能改齋漫錄．卷三．辨誤》：「《古今詩話》：『羊方諤上廣守詩：鱷徙惡溪韓吏部，珠還合浦孟嘗君。』」02.《野叟曝言》第三七回：「聞未家只有兩女，其幼者已沉西湖，生死未卜；方纔老伯說是兩位小姐，想已珠還合浦矣？」<a name=""合浦還珠"">　</a>",,
2140,瓦解冰泮,"泮，冰解凍。「瓦解冰泮」猶「冰消瓦解」。見「冰消瓦解」條。01.三國魏．陳琳〈檄吳將校部曲文〉：「太尉帥師，甫下滎陽，則七國之軍瓦解冰泮，濞之罵言未絕於口，而丹徒之刃以陷其胸。」（源）02.南朝梁．庾信〈哀江南賦〉：「于時瓦解冰泮，風飛雹散。渾然千里，淄澠一亂。」<a name=""瓦解冰消"">　</a>",,
2141,乘其不意,"乘，利用。「乘其不意」猶「出其不意」。見「出其不意」條。01.《後漢書．卷一七．馮岑賈列傳．馮異》：「異乘其不意，卒擊鼓建旗而出。巡軍驚亂奔走，追擊數十里，大破之。」02.《周書．卷二八．賀若敦列傳》：「太祖令敦率軍討之。山路艱險，人跡罕至。敦身先將士，攀木緣崖，倍道兼行，乘其不意。」<a name=""擊其不意"">　</a>",,
2142,不約而合,猶「不約而同」。見「不約而同」條。01.宋．朱熹《朱文公文集．卷一五．祧廟議狀．小貼子》：「熹竊詳頤之議論，素與王安石不同，至論此事，則深服之，以為高於世俗之儒，足以見理義人心之所同，固有不約而合者。」02.宋．范晞文《對床夜語》卷四：「詩人發興造語，往往不約而合。」,,
2143,看景生情,"即「見景生情」。見「見景生情」（二）。01.《二刻拍案驚奇》卷一六：「他日可以在裡頭看景生情，得些漁人之利。」02.《水滸傳》第七四回：「非是燕青敢說口，臨機應變，看景生情，不倒的輸與他那呆漢！」<a name=""即景生情"">　</a>",,
2144,千變萬狀,"形容變化繁多、情狀不一。見「千變萬化」條。01.唐．白居易〈草堂記〉：「陰晴顯晦，昏旦含吐，千變萬狀，不可殫紀。」02.唐．司空圖〈與李生論詩書〉：「蓋絕句之作，本於詣極，此外千變萬狀，不知所以神而自神也。」<a name=""萬化千變"">　</a>",,
2145,千金一刻,即「一刻千金」。見「一刻千金」條。01.宋．陳德武〈百字謠．古今明月〉詞：「十二瑤臺，千金一刻，橫竹休吹徹。」02.明．湯顯祖《紫釵記》第六齣：「他飛瓊伴侶，上元班輩，迴廊月射幽暉，千金一刻。」<br>,,
2146,師心自是,"猶「師心自用」。見「師心自用」條。01.《弘明集．卷一二．南朝宋．釋慧義．答范伯倫諸檀越書》：「若欲違經反律，師心自是，此則大法之深患，穢道之首也。」02.北齊．顏之推《顏氏家訓．勉學》：「見有閉門讀書，師心自是，稠人廣坐，謬誤差失者多矣。」<a name=""師心自任"">　</a>",,
2147,千條萬端,"猶「千頭萬緒」。見「千頭萬緒」條。01.《後漢書．卷一八．吳蓋陳臧列傳．吳漢》：「比敕公千條萬端，何意臨事勃亂！」02.《太平經．卷三六．三急吉凶法》：「各有所急，千條萬端，皆名為何等急。」<a name=""千緒萬端"">　</a>",,
2148,吞聲飲氣,"猶「忍氣吞聲」。見「忍氣吞聲」條。01.《北史．卷八二．儒林列傳下．劉炫》引王孝藉〈上牛弘書〉：「安可齰舌緘脣，吞聲飲氣，惡呻吟之響，忍酸辛之酷哉！」<a name=""吞聲忍氣"">　</a>",,
2149,手不輟卷,"即「手不釋卷」。見「手不釋卷」條。01.《晉書．卷五一．皇甫謐列傳》：「謐乃感激，就鄉人席坦受書，勤力不怠……後得風　疾，猶手不輟卷。」<a name=""卷不輟手"">　</a>",,
2150,一舉兩便,一種舉動，得兩種方便。見「一舉兩得」條。01.《鏡花緣》第四二回：「好在將來姪女也要上京赴試，莫若明年赴過郡考，早早進京，借赴試之便，就近省親，豈非一舉兩便？」,,
2151,貞風亮節,"猶「高風亮節」。見「高風亮節」條。01.南朝宋．傳亮〈故安成太守傅府君銘〉：「爰自漢季，以及晉朝，高明遠德，係軌于時，貞風亮節，流聲累葉。」<a name=""苦節高標"">　</a>",,
2152,委曲成全,"即「委曲求全」。見「委曲求全」條。01.明．李贄《續焚書．卷一．書彙．答駱副使》：「夫自用則不能容物，無用又不能理物，其得爾三載於滇中者，皆我公委曲成全之澤也。」<a name=""委曲周全"">　</a>",,
2153,孜孜不怠,"勤勉不懈。見「孜孜不倦」條。01.《漢書．卷七一．雋疏于薛平彭傳．平當》：「今聖漢受命而王，繼體承業二百餘年，孜孜不怠，政令清矣。」02.唐．劉肅《大唐新語．卷七．容恕》：「（婁師德）前後四十餘年，恭勤接下，孜孜不怠，而樸忠沉厚，心無適莫。」<a name=""孳孳不倦"">　</a>",,
2154,比肩隨踵,"肩併肩，腳接腳。形容人數眾多且不斷產生。見「摩肩接踵」條。01.《韓非子．難勢》：「且夫堯、舜、桀、紂千世而一出，是比肩隨踵而生也，世之治者不絕於中。」<a name=""摩肩繼踵"">　</a>",,
2155,飯囊酒瓮,猶「酒囊飯袋」。見「酒囊飯袋」條。01.宋．陸游〈嘉定己巳立秋得膈上疾近寒露乃小癒〉詩：「飯囊酒瓮非吾事，只貯千巖萬壑秋。」,,
2156,亂首垢面,"猶「蓬頭垢面」。見「蓬頭垢面」條。01.《漢書．卷九九．王莽傳上》：「莽侍疾，親嘗藥，亂首垢面，不解衣帶連月。」（源）<a name=""蓬首垢面"">　</a>",,
2157,亂墜天花,猶「天花亂墜」。見「天花亂墜」條。01.清．無名氏《豆棚閑話》第七則：「我們終日吃素看經，邀人做會，勸人布施，如今覺得再去開口也難。即使說得亂墜天花，人也不肯信了。」,,
2158,穎脫而出,猶「脫穎而出」。見「脫穎而出」條。01.《史記．卷七六．平原君虞卿列傳．平原君》：「毛遂曰：『臣乃今日請處囊中耳。使遂蚤得處囊中，乃穎脫而出，非特其末見而已。』」（源）02.五代十國南唐．史虛白《釣磯立談》：「毛遂云：『錐未得處囊中故也。如得處囊中，則必穎脫而出矣。』我之所志，大有以似此。」,,
2159,重睹天日,"猶「重見天日」。見「重見天日」條。01.宋．文天祥〈真州雜賦序〉：「一入真州，忽見中國衣冠，如流浪人乍歸故鄉，不意重睹天日至此！」02.《聊齋志異．卷一○．龍飛相公》：「如有萬分一，此即何難！但深在九地，安望重睹天日乎？」<a name=""再見天日"">　</a>",,
