idiom,original_definition
鏡花水月,「鏡花水月」之「花」，典源作「像」，謂影像。鏡中的影像，水裡的月亮。比喻虛幻不實在。＃語本《遠什大乘要義問答．卷上．辯法身如幻常光泥洹三義》。
侃侃而談,形容說話從容不迫的樣子。語本《論語．鄉黨》。
一衣帶水,形容江流狹窄有如一條衣帶。語出《南史．卷一○．陳本紀下》。後亦泛指江河阻隔不足以限制交往。
門當戶對,形容結親的雙方家庭經濟和社會地位相當。語本《三國志．卷五．魏書．后妃傳．文德郭皇后》。
融會貫通,形容將各種相關的知識或事物加以融合、貫穿，進而獲得全面通徹的領會。語出宋．朱熹〈答姜叔權書〉其一。
劍拔弩張,"(一)劍已拔出，弓已上弦，是搏鬥就要開始的現象。形容形勢緊張或聲勢逼人。語本《漢書．卷九九．王莽傳下》。_x000D_
△「一觸即發」、「兵接弩張」_x000D_
(二)形容書法筆力雄健。語出南朝梁．袁昂《古今書評》。"
管窺蠡測,"蠡，用瓠瓜做成的水瓢。「管窺蠡測」是指透過管子看天，用水瓢測量海水。比喻見識淺陋狹窄。語本《漢書．卷六五．東方朔傳》。_x000D_
△「管中窺豹」、「以管窺天」。"
明知故犯,形容明明知道不對，卻故意去做。語本宋．陳世崇《隨隱漫錄》卷一。
壽終正寢,指男子享盡天年，在家中自然死亡。＃語本《穀梁傳．莊公三十二年》。後亦用「壽終正寢」比喻事物的消亡。
落花流水,凋零的落花隨著流水漂走，形容暮春殘敗的景象。※＃語或出唐．李群玉〈奉和張舍人送秦鍊師歸岑公山〉詩。後亦用「落花流水」形容零落殘敗，雜亂的景象。
江河日下,江河之水日益奔流而下。比喻情況日漸敗壞。※語或本宋．蘇轍《欒城應詔集．卷六．進君術策五道．第五道》。
腦滿腸肥,"頭部豐滿，肚腹肥胖。形容飽食終日，無所用心，以致徒有外觀而實無內涵。語本《北齊書．卷一二．武成十二王列傳．琅邪王儼》。
△「大腹便便」"
色厲內荏,"荏，怯懦。「色厲內荏」形容人外表嚴厲而內心怯懦。語出《論語．陽貨》。
△「外強中乾」、「穿窬之盜」"
耳提面命,"比喻懇切教誨。語本《詩經．大雅．抑》。
△「三令五申」"
萍水相逢,浮萍漂浮水面，聚散不定。比喻兩個人本來不相識，因機緣巧合偶然相逢，同時亦指交情尚屬微淺。語出唐．王勃〈秋日登洪府滕王閣餞別序〉。
愁眉不展,"雙眉緊鎖，很憂愁的樣子。※語或出唐．姚鵠〈隨州獻李侍御〉詩二首之二。
△「愁眉苦臉」"
體無完膚,全身上下沒有一塊完好的皮膚。形容受傷慘重，全身都是傷痕。語本《世語》。後亦用「體無完膚」比喻遭人批評、駁斥得一無是處，面目全非。
視死如歸,"把犧牲生命看成是回到自己的家一般，形容為了理想而不怕犧性生命，無所畏懼。語出《管子．小匡》。
△「視死如飴」"
虛懷若谷,心胸寬廣如山谷能容納萬物。◎語本《老子》第一五章。後用「虛懷若谷」形容為人謙虛，能接納他人的意見。
無出其右,古時以右為尊，「無出其右」指沒有人能勝過他，為推許之詞。＃語本《史記．卷一○四．田叔列傳》。
三人成虎,連續三人說街上出現老虎，就使人相信街上真有老虎。比喻謠言再三重複，亦能使人信以為真。＃典出《戰國策．魏策二》。
勞燕分飛,伯勞和燕子離散飛走。語本樂府古辭〈東飛伯勞歌〉。比喻別離，多用於夫妻、情人之間。
風吹草動,風吹起，草木搖動。比喻輕微的動靜變化。※語或出敦煌變文《伍子胥變文》。
倚老賣老,自以為年紀大，閱歷豐富，而看不起別人。※語或出元．無名氏《謝金吾》第一折。
無中生有,"道家認為「有」是從「無」產生出來的。語本《老子》第四○章。後來語義一轉，用「無中生有」指本無其事，憑空捏造。
△「捕風捉影」"
釜底抽薪,"釜，鍋子。薪，柴火。「釜底抽薪」指從鍋底抽掉柴火。比喻從根本上解決問題。※＃語或本《呂氏春秋．季春紀．盡數》。後亦用「釜底抽薪」比喻從源頭斷絕。_x000D_
△「揚湯止沸」"
唾手可得,"唾手，往手上吐唾沫。「唾手可得」比喻事物很容易得到。語本晉．司馬彪《九州春秋》。
△「拱手而取」"
狼狽不堪,比喻處境窘迫，進退兩難。※語或本《三國志．卷三六．蜀書．關張馬黃趙傳．馬超》。後亦用「狼狽不堪」來比喻身心疲憊困頓。
運籌帷幄,籌，計數的器具。帷幄，軍旅中的帳幕。「運籌帷幄」指在軍帳中出謀策劃。＃語出《史記．卷一三○．太史公自序》。後用「運籌帷幄」比喻謀劃策略。
狹路相逢,在狹窄的路上相遇，不易避讓。＃語本樂府古辭〈相逢行〉。後用「狹路相逢」比喻仇人相遇。
神魂顛倒,"比喻精神恍惚，心意迷亂。※語或出《醒世恆言．卷一六．陸五漢硬留合色鞋》。_x000D_
△「夢魂顛倒」"
鬼斧神工,"像是鬼神製作出來的。形容技藝精巧，達到鬼神靈妙的境界。語本《莊子．達生》。
△「出神入化」、「巧奪天工」"
高談闊論,"「高談闊論」典源作「高譚清論」。本指見地高超、範圍廣闊地談論。語本《東觀漢記．卷一八．趙勤列傳》。後來也用「高談闊論」比喻暢快而無拘束地談論。或沒有實質內容，空泛而漫無邊際地談論。
△「迂談闊論」、「高談弘論」、「高談危論」、「高談虛論」"
流離失所,"「流離」，流亡離散。◎語出《漢書．卷二四．食貨志上》。「失所」，無處安身。＃語出漢．李陵〈與蘇武〉詩三首之一。「流離失所」形容轉徙離散，無處安身。_x000D_
△「百六之會」、「陽九之阸」、「顛沛流離」"
莫衷一是,"形容眾說紛紜，無法得到一致的結論。※語或出清．黃協塤《鋤經書舍零墨．卷三．落英》。
△「衷諸壹是」"
掌上明珠,捧在手掌上的一顆明珠，比喻極為珍愛的人或物。語本晉．傅玄〈短歌行〉。後多指愛女。
提綱挈領,「提綱」，提起魚網的總繩。語本《韓非子．外儲說右下》。「挈領」，提起衣服的領子。語本《荀子．勸學》。「提綱挈領」比喻抓住事理的重點。
無病呻吟,沒有生病但卻發出呻吟聲。語出宋．辛棄疾〈臨江仙．老去渾身無著處〉詞。後用「無病呻吟」比喻人故作憂戚狀或妄發牢騷。也諷喻文辭的矯揉造作，言不由衷。
喧賓奪主,「喧賓奪主」之「賓」，典源作「客」。喧，喧騰。「喧賓奪主」指賓客聲勢強大，占了主人的位置，反客為主。※＃語或本清．趙翼《廿二史劄記．卷九．宋齊梁陳書．宋齊書帶敘法》。
虛有其表,"形容空有華麗的外表，卻無實際的內涵。語出唐．鄭處誨《明皇雜錄》卷下。
△「金玉其外，敗絮其中」、「華而不實」"
搖尾乞憐,"狗搖著尾巴，以討主人歡心。形容人有所請求，卑躬屈膝向人討好。語出唐．韓愈〈應科目時與人書〉。_x000D_
△「俛首帖耳」、「搖尾求食」"
改過自新,改正過失，重新作人。◎語出《史記．卷一○．孝文本紀》。
邯鄲學步,"學習邯鄲人走路的姿勢。比喻模仿不成，反而失去自我。語本《莊子．秋水》。_x000D_
△「井底之蛙」、「以管窺天」"
月下老人,指主管男女婚姻的神。語本唐．李復言《定婚店》。後亦指媒人。
馬首是瞻,"瞻，看。「馬首是瞻」指士兵依據主將的馬頭來決定前進的方向，比喻服從指揮或跟隨他人進退。語出《左傳．襄公十四年》。
△「塞井夷灶」"
疲於奔命,「疲於奔命」之「疲」，典源作「罷」。「罷」通「疲」。指不斷接到命令而忙碌奔走，精疲力盡。◎語本《左傳．成公七年》。後用「疲於奔命」形容事情繁多，奔波勞累。
害群之馬,比喻危害大眾的人。語本《莊子．徐无鬼》。
鹿死誰手,誰，文言音讀ㄕㄨㄟˊ，一般口語讀為ㄕㄟˊ。「鹿死誰手」本意為以追逐野鹿比喻誰能奪得天下。鹿為古代狩獵之主獵物，比喻政權。後多用於競爭比賽，誰能獲勝。語出《晉書．卷一○五．石勒載記》。
捨生取義,"「捨生取義」之「捨」，典源作「舍」。「舍」同「捨」。「捨生取義」指為正義真理而不惜犧牲生命。語本《孟子．告子上》。
△「殺身成仁」"
學富五車,"讀過的書可以裝滿五大車。形容人書讀很多，學識廣博。語本《莊子．天下》。
△「大同小異」"
集思廣益,集結眾人的智慧，廣泛吸收有益的意見。語本《三國志．卷三九．蜀書．董劉馬陳董呂傳．董和》。
鶉衣百結,「鶉衣」，衣服像鶉鳥的尾巴一樣，短禿不全。語本《荀子．大略》。「百結」，將碎布拼接成衣。語出晉．王隱《晉書》。「鶉衣百結」形容衣服破爛不堪。
期期艾艾,「期期」，口吃重言的樣子。語出《史記．卷九六．張丞相列傳》。「艾艾」，口吃重言的樣子。＃語出晉．裴啟《語林》。「期期艾艾」形容口吃結巴的樣子。
殃及池魚,殃，災禍。「殃及池魚」，指禍連池中魚。比喻無故受到牽累。典出《呂氏春秋．孝行覽．必己》。
患得患失,"在沒得到以前怕得不到，得到以後又怕失去。形容人的得失心很重。語本《論語．陽貨》。
△「無所不至」"
瞻前顧後,瞻，向前看。顧，回頭看。「瞻前顧後」指看看前面再看看後面，形容做事謹慎周密。後用來形容檢討過去、計畫未來，也用於形容做事猶豫不決，顧慮太多。語出戰國楚．屈原〈離騷〉。
長袖善舞,衣袖長，有益於作舞，比喻做事有所憑藉，而易於成功。語出《韓非子．五蠹》。後亦用「長袖善舞」比喻有財勢，有手腕，善於社交或鑽營取巧。
樹倒猢猻散,猢猻，猴子。「樹倒猢猻散」指樹倒了，原本棲息在上面的猴子也跟著四散。比喻有權勢的人一旦失勢，其依附者隨即散去。語出宋．龐元英《談藪》。
靡靡之音,"靡靡，頹廢淫蕩。「靡靡之音」指頹廢淫蕩、足以使人喪志的音樂。語本《韓非子．十過》。
△「亡國之音」、「桑間濮上」"
疾言厲色,指言語急迫，神色嚴厲。形容人發怒的樣子。＃語本《後漢書．卷二五．卓魯魏劉列傳．劉寬傳》。
立錐之地,豎立錐子的地方。比喻極微小的地方。常用「無立錐之地」表示無可容身之處。＃語本《莊子．盜跖》。
亭亭玉立,形容女子身材修長美麗。亭亭，高聳直立的樣子。＃語本漢．蔡邕〈協初賦〉。後亦用「亭亭玉立」形容花木、山峰等的挺拔姿勢。
天作之合,天意撮合的婚姻，比喻美滿良緣，多用為新婚賀詞。語出《詩經．大雅．大明》。後亦用「天作之合」指自然形成的伙伴。
淋漓盡致,淋漓，溼透的樣子。「淋漓盡致」形容語言或文章表達得非常透澈。※語或出明．李清《三垣筆記．卷上．崇禎補遺》。後亦用「淋漓盡致」形容表現生動逼真。
包羅萬象,"包羅，包含網羅。萬象，各式各樣的事物。「包羅萬象」形容內容豐富，應有盡有。※語或出無名氏〈黃帝宅經序〉。
△「森羅萬象」"
迫不及待,情況急迫，不能再等。※語或出明．王夫之《讀通鑑論．卷二四．唐德宗》。後亦用「迫不及待」形容心情急切，不願等待。
海誓山盟,誓言盟約如山海般堅固持久，永恆不變。語本《史記．卷一八．高祖功臣侯者年表》唐．司馬貞索隱述贊。
仁至義盡,原指祭祀農事諸神及相關事物，極盡仁義之道。語本《禮記．郊特牲》。後用「仁至義盡」形容對他人盡最大的努力關懷照顧。
悲天憫人,憂傷時局多變，哀憐百姓疾苦。語本唐．韓愈〈爭臣論〉。
面面俱到,"形容各方面都照顧到。※語或出清．梁章鉅《楹聯叢話．卷三．廟祀上》。_x000D_
△「八面玲瓏」"
借刀殺人,借別人的刀來殺人，比喻假他人之手去害人。※語或出明．汪廷訥《三祝記．卷上．造陷》。
不見經傳,以往的典籍中從未記載過。經傳，指經典和解釋經典內容的著作，後用作典籍的代稱。「不見經傳」比喻沒有名氣。語本《史記．卷六七．仲尼弟子列傳．序》。亦用於比喻缺乏根據，沒有來歷。
半斤八兩,舊制一斤為十六兩，半斤和八兩輕重相等。比喻彼此相當，不相上下。※＃語或出宋．無名氏《永樂大典戲文三種．張協狀元．第二八齣》。
浮光掠影,"「浮光掠影」之「掠」，典源作「略」，「略」通「掠」，為輕拂、輕拭而過的意思。「浮光掠影」指「表面反射的光」和「一閃而過的影子」，用來比喻見識粗淺，不夠仔細深入。※語或出清．馮班《鈍吟雜錄》卷五。後亦用「浮光掠影」比喻文章言論的內容膚淺空泛。有時也用來形容印象不深刻。
△「走馬看花」、「浮光漾影」"
無所事事,事事，做事。前一個「事」是動詞，後一個是名詞。「無所事事」，什麼事也不做，形容閒蕩無事的樣子。語本《史記．卷五四．曹相國世家》。
無的放矢,"沒有目標而胡亂放箭，比喻言語或行動沒有目的。語本唐．劉禹錫〈答容州竇中丞書〉。後亦用「無的放矢」比喻毫無事實根據而胡亂地指責、攻擊別人。_x000D_
△「有的放矢」"
猶豫不決,"遲疑不定，無法拿定主意。※語或本《戰國策．趙策三》。
△「優柔寡斷」"
山高水長,"(一)彼此間有高山、大河阻隔。形容距離遙遠。語出唐．劉禹錫〈望賦〉。_x000D_
(二)像山一樣的高聳，像水一樣的長流。比喻人品高潔，垂範久遠。語出宋．范仲淹〈桐廬郡嚴先生祠堂記〉。後亦用「山高水長」比喻情誼或恩德深厚，或形容山水景色秀麗。"
秋毫無犯,秋毫，秋天鳥獸所生的細毛。「秋毫無犯」指連細微的秋毫都不侵犯，比喻對任何東西都不侵犯、不動用。◎語本《史記．卷七．項羽本紀》。
小家碧玉,碧玉，女子名。「小家碧玉」指小戶人家的女兒。語本無名氏〈碧玉歌〉。後用「小家碧玉」指平常人家年輕貌美的少女。
世態炎涼,「世態」，指世俗情態。語出唐．呂從慶〈偶興〉詩。「炎涼」，即冷暖。語出唐．白居易〈和答詩十首．和松樹〉。「世態炎涼」比喻世俗情態反覆無常。
八拜之交,八拜，行禮八次，古時對父執輩所行的禮節。「八拜之交」指結拜為異姓兄弟姊妹的朋友。※語或出元．王實甫《西廂記．第一本．第一折》。
萬象更新,「萬象更新」，典源作「萬象新」。大自然界的事物或景象都改變得煥然一新。語本唐．薛能〈新雪八韻〉詩。
三姑六婆,三姑，尼姑、道姑、卦姑；六婆，牙婆、媒婆、師婆、虔婆、藥婆、穩婆。指古代婦女所從事的職業名稱。語本元．陶宗儀《南村輟耕錄．卷一○．三姑六婆》。後用「三姑六婆」比喻愛搬弄是非的婦女。
死有餘辜,辜，罪。「死有餘辜」形容罪惡深重，死都不足以抵罪。語出《漢書．卷五一．賈鄒枚路傳．路溫舒》。
罪不容誅,"即使一死也抵償不了所犯的罪行。比喻罪大惡極。語本《孟子．離婁上》。_x000D_
△「殺人盈城」、「殺人盈野」"
古色古香,形容具有古舊典雅色彩和情調的書畫、或造型仿古的器物、建築、藝術品等。＃語本宋．趙希鵠《洞天清祿集》。
半路出家,比喻中途轉業改行。※語或出《京本通俗小說．錯斬崔寧》。後亦用「半路出家」比喻成年後才出家為僧為尼。
如喪考妣,好像死了父母一般。比喻悲痛至極。語出《書經．舜典》。
憤世嫉俗,憤恨不合理的社會現狀，憎恨邪惡的勢力。語本唐．韓愈〈雜說〉四首之三。後用「憤世嫉俗」形容對腐敗的社會現狀及庸俗世態的痛恨。
價值連城,"戰國秦昭王願以相連的十五座城池，換取趙國的和氏璧。＃典出《史記．卷八一．廉頗藺相如列傳》。後用「價值連城」形容物品十分珍貴。_x000D_
△「完璧歸趙」"
事過境遷,"事情過了，環境也已改變。※語或本晉．王羲之〈蘭亭集序〉。
△「時過境遷」"
三言兩語,三兩句話就說完了。形容言語簡短。※語或出宋．吳潛〈望江南．家山好〉詞。
兵荒馬亂,"形容戰爭所造成的混亂景象。※語或出元．無名氏《梧桐葉》第四折。
△「兵連禍結」、「兵亂年荒」"
一瀉千里,"形容水奔流直下，通暢快速。語本唐．李白〈贈從弟宣州長史昭〉詩。後亦用「一瀉千里」比喻文筆流暢，氣勢奔放，或比喻快速下降且持續不停。
△「一落千丈」"
一勞永逸,「一勞永逸」之「一」，典源作「壹」。「壹」同「一」。經過一次的勞苦，就能獲得永久的安逸。語本漢．揚雄〈諫勿許單于朝疏〉。
暮鼓晨鐘,"「暮鼓晨鐘」是佛寺中早晚報時的鐘鼓。※語或本唐．李咸用〈山中〉詩。後亦用「暮鼓晨鐘」指一日的時光，或比喻使人警醒的力量。
△「夕鼓晨鐘」"
一呼百諾,在上位者一呼喚，在下位者則連聲應諾。形容恭敬順從。語本《韓詩外傳》。後用「一呼百諾」形容權勢顯赫，隨從盛多。
夜長夢多,在漫漫的長夜裡，反覆做著夢。※語或本宋．王令〈客次寄王正叔〉詩。後用「夜長夢多」比喻時間拖久了，易發生不利的變化。
赤子之心,嬰兒的心。比喻純潔、善良的心地。語出《孟子．離婁下》。
秀外慧中,「秀外慧中」之「慧」，典源作「惠」。「惠」通「慧」。「秀外慧中」形容一個人容貌秀美，內心聰慧。今多用以形容女性。語本唐．韓愈〈送李愿歸盤谷序〉。
遺臭萬年,「遺臭萬年」之「年」，典源作「載」。「遺臭萬年」是指惡名永傳後世，為人所唾棄。語本南朝宋．劉義慶《世說新語．尤悔》。
夙夜匪懈,「夙夜匪懈」之「懈」，典源作「解」。形容日夜勤奮，從不懈怠。語本《詩經．大雅．烝民》。
一板一眼,「一板一眼」之「一」，典源作「三」。「板」、「眼」則都指中國劇曲中的節拍，每一小節中以檀板敲擊的強拍為「板」，以簽敲鼓按拍的次強拍和弱拍為「眼」。「一板三眼」指一小節中有四拍的音樂節奏，「一板一眼」則指一小節有二拍。※語或本《糊塗世界》卷六。後用「一板一眼」比喻人言行謹守法規，有條有理。
含飴弄孫,飴，用米或麥製成的糖漿或軟糖等食品。嘴裡含著糖逗弄小孫子。形容老年人恬適悠閒的生活樂趣。＃語出《東觀漢記．卷六．外戚列傳．明德馬皇后》。
作壁上觀,「作壁上觀」之「作」，典源作「從」。站在壁壘上旁觀雙方交戰。語本《史記．卷七．項羽本紀》。後用「作壁上觀」比喻坐觀成敗，不幫助任何一方。
正本清源,"從根本、源頭上清理整頓。比喻澈底改革以解決問題。語本《漢書．卷二三．刑法志》。
△「拔本塞源」"
壯志凌雲,"雄壯豪邁的志向直衝天際。形容志氣高遠。語本三國魏．曹植〈學宮頌〉。
△「凌雲之氣」、「氣厲青雲」"
眼高手低,"「眼高」，眼光高。語出《宣和書譜．卷一九．草書七．南朝宋．鍾離權》。「手低」，手藝低。語本明．王衡《鬱輪袍》第三折。「眼高手低」比喻要求標準高，而實行能力低。
△「手高眼低」"
圖窮匕見,見，音ㄒㄧㄢˋ，顯露。「圖窮匕見」指戰國時荊軻欲刺秦始皇，藏匕首於地圖中，地圖打開至盡頭時，露出匕首。＃典出《戰國策．燕策三》。後用「圖窮匕見」比喻事情發展到最後，形跡敗露，現出真相。
名正言順,"形容名分正當，言詞合理。語本《論語．子路》。後用「名正言順」指所做的事正當而合理，不容置疑。_x000D_
△「手足無措」"
光怪陸離,「光怪」，離奇怪異的樣子。語出《吳書》。「陸離」，參差錯雜的樣子。＃語出戰國楚．屈原〈離騷〉。「光怪陸離」形容現象離奇怪異，色彩參差錯雜。
兢兢業業,兢兢，小心謹慎的樣子。業業，危懼的樣子。「兢兢業業」形容戒慎恐懼，認真負責的樣子。＃語出《書經．皋陶謨》。
金科玉律,「金科玉律」之「律」，典源作「條」。科、條，指法令條文；金、玉，比喻貴重。形容完善嚴密的法律條文。語本漢．揚雄〈劇秦美新〉。後用「金科玉律」比喻不可變更的信條。
各自為政,各依自己的主張行事，不顧全整體。＃語本《左傳．宣公二年》。
瓦釜雷鳴,"瓦釜，陶製的鍋具，喻平庸之物。「瓦釜雷鳴」指陶製的鍋具，本來不會發生巨大聲音，但如此平庸之物竟發出如雷的巨響，比喻平庸無才德的人卻居於顯赫的高位。語出戰國楚．屈原〈卜居〉。後亦用「瓦釜雷鳴」比喻拙劣的文章卻風行於世。
△「黃鐘毀棄」、「黃鐘毀棄，瓦釜雷鳴」"
通權達變,"權，秤錘。隨輕重而變，引申有權變的意思。「通權達變」指不墨守常規，根據實際情況作適當的處置。語本《三國志．卷三二．蜀書．先主傳二》。
△「達變通機」"
望穿秋水,"秋水，喻指眼睛。「望穿秋水」，望穿了眼睛，形容殷切盼望。※語或本元．王實甫《西廂記．第三本．第二折》。
△「望眼欲穿」"
高抬貴手,請求寬容饒恕的客套話。※語或本宋．邵雍〈謝甯寺丞惠希夷罇〉詩。
移花接木,"將花木的枝條接到別種花木上。比喻暗中使用手段，以假換真，欺騙他人。※語或出《初刻拍案驚奇》卷三五。
△「偷天換日」"
不可一世,可，讚許、稱是。「不可一世」指人驕橫自大，目空一切，以為他人無與倫比。＃語出宋．羅大經《鶴林玉露》卷五。
柳暗花明,"(一)形容綠柳成蔭，繁花似錦的美景。語出唐．王維〈早朝〉詩。
(二)比喻在曲折艱辛之後，忽然絕處逢生，另有一番情景。語出宋．陸游〈遊山西村〉詩。"
引經據典,引用經書典籍等做為說話、作文的依據。語本《後漢書．卷六二．荀幹鍾陳列傳．荀淑》。
有條不紊,"指條理分明，有次序而不雜亂。語出《書經．盤庚上》。
△「井井有條」、「洞若觀火」"
如願以償,償，實現。「如願以償」指心願得以實現。※語或本唐．韓愈〈新修滕王閣記〉。
脫穎而出,"穎，物體尖銳的末端。「脫穎而出」指錐尖透過囊袋顯露出來。比喻顯露才能，超越眾人。或比喻從囊中逃脫。語本《史記．卷七六．平原君虞卿列傳．平原君》。_x000D_
△「毛遂自薦」"
割雞焉用牛刀,"殺雞何必用宰牛的刀。比喻處理小事，毋需大才。語出《論語．陽貨》。
△「牛刀小試」、「武城弦歌」"
低聲下氣,"放低聲音，低抑氣息。形容說話恭順小心的樣子。語出宋．朱熹《童蒙須知．語言步趨》。_x000D_
△「下氣怡聲」"
楚材晉用,楚國的人才為晉國所用。比喻人才外流。語本《左傳．襄公二十六年》。
引狼入室,"把壞人或敵人引到家中。比喻自招其禍。※＃語或本元．賈仲名《對玉梳》第二折。_x000D_
△「開門揖盜」"
解衣推食,"將衣食贈送他人，以示關懷之意。語本《史記．卷九二．淮陰侯列傳》。
△「言聽計從」"
兵不厭詐,"指作戰時不排斥以欺詐的方法來取勝。語本《韓非子．難一》。後用「兵不厭詐」比喻為了達到目的，不排斥使用詭詐的手段。
△「焚林而獵」"
漸入佳境,比喻境況逐漸進展至美好的境界。＃語本南朝宋．劉義慶《世說新語．排調》。後亦用「漸入佳境」比喻興味漸濃。
老成持重,「老成」，老練成熟。語出《詩經．大雅．蕩》。「持重」，沉著穩重。＃語出《史記．卷一○八．韓長孺列傳》。「老成持重」形容人成熟老練，處事沉著穩重。
一事無成,一件事也沒做成。指事業毫無成就。語出唐．白居易〈除夜寄微之〉詩。
百步穿楊,"春秋時楚國的養由基能在百步內射穿楊柳樹的葉子。形容射箭技術高超或射擊技藝高強。＃語本《戰國策．西周策》。
△「百發百中」、「前功盡棄」"
金屋藏嬌,指營建華屋給所愛的人居住。典出《漢武故事》。後用「金屋藏嬌」比喻男子納妾或有外遇之事。
任重道遠,"負擔繁重，路途遙遠。比喻長期肩負重大的任務。語出《論語．泰伯》。
△「負重致遠」"
一蹶不振,蹶，跌倒。振，奮起。「一蹶不振」指跌倒了就不能再奮起。語本漢．劉向《說苑．卷一六．談叢》。後用「一蹶不振」比喻一遭受挫敗，就再也不能振作起來。
近悅遠來,使近處的人心悅誠服，遠方的人願意前來歸附。形容政治清明，德澤風行。語本《論語．子路》。後亦用「近悅遠來」形容在商場上遠近馳名而顧客眾多。
因地制宜,"根據不同環境的實際情況制定相應的妥善辦法。語出漢．趙曄《吳越春秋．闔閭內傳》。
△「因時制宜」、「因事制宜」"
冷眼旁觀,"冷眼，指冷靜的眼光。「冷眼旁觀」形容用冷靜的眼光在旁觀察。語本唐．徐夤〈上盧三拾遺以言見黜〉詩。後亦用「冷眼旁觀」形容漠不關心。
△「袖手旁觀」"
七零八落,形容零散的樣子。※＃語或出《建中靖國續燈錄．卷六．臨江軍有文禪師》。後亦用「七零八落」形容支離破碎，殘敗不完整，或形容數量稀少。
千鈞一髮,"千鈞重物用一根頭髮繫著。比喻情況非常危險。＃語本《列子．仲尼》。
△「危如累卵」"
大千世界,佛教用語，三千大千世界的略稱。語出《大智度論．卷七．釋初品中放光》。後用「大千世界」比喻廣闊無邊、千奇百怪的世界。
大刀闊斧,"大刀、闊斧，為兩種兵器。「大刀闊斧」形容軍隊聲勢浩大，殺氣騰騰。※◎語或出《水滸傳》第四七回。後用「大刀闊斧」形容做事果斷、有魄力。亦可形容砍斷有力。
△「雷厲風行」"
交頭接耳,湊近頭耳，形容低聲私語。語出《前漢書平話》卷下。
寸草不留,連一點小草都不存留，比喻消滅殆盡。※語或出宋．樓鑰〈英老真贊〉。
巧言令色,巧，美妙。令，善。「巧言令色」指話說得很動聽，臉色裝得很和善，可是一點也不誠懇。形容人矯情虛偽。語出《書經．皋陶謨》。
木已成舟,"木材已經做成船隻。比喻已成事實，無法改變。※語或出《野叟曝言》第九回。
△「生米煮成熟飯」"
出言不遜,遜，謙恭。「出言不遜」指說話傲慢無禮。＃語本《史記．卷四九．外戚世家》。
切磋琢磨,將骨頭、象牙、玉石、石頭等加工製成器物。語本《詩經．衛風．淇奧》。後用「切磋琢磨」比喻互相研究討論，取長補短，以求精進。
見利忘義,"見到有利可圖就不顧道義。語出《漢書．卷四一．樊噲等列傳》。_x000D_
△「利令智昏」、「見利忘親」"
老蚌生珠,年久的老蚌孕育出美麗的珍珠。比喻傑出的父親養育出優秀的兒子。語本漢．孔融〈與韋端書〉。後用「老蚌生珠」比喻年老得子，或稱高齡的女性產下子女。
膠柱鼓瑟,"鼓，彈奏。「膠柱鼓瑟」指將瑟的弦柱黏固，而後彈奏它，就無法彈出高低的音調。比喻做事拘泥而不知變通。語本《文子．道德》。
△「守株待兔」、「刻舟求劍」。"
以身試法,"試，試探、考驗。原指故意從事違反法令的事情，以考驗為政者執行律令的能力與決心，後專指某人無視於法律的制裁而故意犯法。語出《漢書．卷七六．趙尹韓張兩王傳．王尊》。
△「知法犯法」"
正中下懷,恰好符合自己的心意。※語或出《水滸傳》第六三回。
方興未艾,艾，停止。正在發展，沒有停止，比喻事態正在蓬勃發展。＃語出宋．陳亮〈戊申再上孝宗皇帝書〉。
日新月異,"日日更新，月月不同，隨時都有新的變化，指時時刻刻都能更新自己的品德。語本《禮記．大學》。後用「日新月異」形容發展或進步快速，不斷出現新事物或新現象。
△「無所不用其極」"
付之一炬,"炬，火把。用一把火將它焚燬。指物品、成果悉數被焚燬。語本唐．杜牧〈阿房宮賦〉。
△「付之丙丁」"
日月如梭,"梭，織布時用來牽引緯線的器具，兩頭尖，中間粗，形似棗核，絲束放於中空部分。「日月如梭」指太陽和月亮的交替運行，就像織布的梭子，來回不停地穿梭。形容時光迅速消逝。※＃語或出宋．高登〈朱黃雙硯〉。
△「白駒過隙」、「光陰似箭」、「歲月如流」"
春華秋實,「春花秋實」，典源作「春發其華，秋收其實」，本義為春天開花，秋天結果的自然景象。＃語本《後漢書．卷五二．崔駰列傳》。後世引申，產生兩種意義：一為比喻文質，各擅其勝。「春華」喻文，多指文采，「秋實」喻質，多指內涵。二為比喻努力與成果過程的因果關係，即有「春華」才有「秋實」之意。
恬不知恥,"「恬不知恥」，典源作「恬然不恥」。形容有過錯卻安然不以為恥。語本唐．馮贄《雲仙雜記．卷八．毛詩卷染油代燭》。
△「寡廉鮮恥」"
削足適履,鞋小腳大，故將腳削小以適合鞋的尺寸。比喻拘泥成例，勉強遷就，而不知變通。語出《淮南子．說林》。
昭然若揭,如同高舉著日月般地明白清楚。形容含義或真相非常清楚，顯而易見。◎語本《莊子．達生》。
後起之秀,稱譽後輩中的優秀人物。＃◎語本《晉書．卷七五．王湛列傳》。
杳如黃鶴,"乘鶴而去，無影無蹤。典出南朝梁．任昉《述異傳》。後用「杳如黃鶴」比喻一去不返，無影無蹤。_x000D_
△「泥牛入海」"
信誓旦旦,旦旦，誠懇的樣子。「信誓旦旦」指誓言說得非常誠懇可信。語出《詩經．衛風．氓》。
息事寧人,原指為政不生事擾民。語出《後漢書．卷三．肅宗孝章帝紀》。後用「息事寧人」指平息紛爭，以使彼此相安。
