編號,成語,釋義,用法說明-語義說明,三歲版解釋
798,驚天動地,"形容聲音很大。＃語本漢．司馬相如〈天子游獵賦〉。後用「驚天動地」形容聲勢驚人。
△「震天駭地」",形容聲音很大。＆形容聲勢驚人。,用來說聲音或氣勢非常大，讓人又驚又怕，很難忘。
799,沐猴而冠,沐猴，獼猴。「沐猴而冠」指性情急躁的獼猴學人穿戴冠帽。比喻人虛有表象，卻不脫粗鄙的本質。＃語本《史記．卷七．項羽本紀》。後用「沐猴而冠」諷刺無真才實學，依附權勢，竊取名位的人。亦或指獼猴性急，不能若人久著冠帶，以喻人性情急躁。,比喻人虛有表象，卻不脫粗鄙的本質。＆比喻人性情急躁。,外表像樣，內裡粗俗沒真本事，脾氣也很急。
800,作繭自縛,"蠶吐絲結繭，將自己包裹於內。語本《景德傳燈錄．卷二九．誌公和尚．十四科頌．善惡不二》。後用「作繭自縛」比喻人做某事，反而使自己陷入困境。
△「作法自斃」",比喻人做某事，反而使自己陷入困境。,自己做的事反而把自己困住，出不來很麻煩。
801,言人人殊,殊，不同的、互異的。「言人人殊」對同一件事各人所言不同。語出《史記．卷五四．曹相國世家》。,對同一件事各人所言不同。,同一件事，不同人會有不同的說法和看法呢。
802,下筆成章,一揮筆即寫成文章。比喻才思敏捷，且具文采。語出《三國志．卷一九．魏書．任城陳蕭王傳．陳思王植》△「一氣呵成」、「一揮而就」、「援筆立成」,比喻才思敏捷且具文采。,寫文章很快，想到什麼就能立刻寫出漂亮的句子。
803,豁然開朗,"眼前頓時開闊明亮起來。語出晉．陶潛〈桃花源記〉。後亦用「豁然開朗」形容心境忽然變得開闊暢快。亦用於形容突然領悟到某個道理。
△「世外桃源」、「恍然大悟」、「豁然大悟」",眼前頓時變得開闊明亮。＆形容心境忽然變得開闊暢快。＆形容突然領悟到某個道理。,忽然眼前變得寬闊明亮，心情也一下開朗，或突然想通一個道理。
804,言過其實,指言辭虛妄誇大，與事實不相符。＃語出漢．應劭《風俗通義．卷二．正失》。,指言辭虛妄誇大，與事實不相符。,把事情說得比真實大，說的和事實不一樣，讓人覺得誇張。
805,歷歷在目,清楚明白地呈現在眼前。語本唐．杜甫〈歷歷〉詩。,清楚明白地呈現在眼前。,過去發生的事，現在好像就在眼前一樣清楚。
806,垂涎三尺,口水流下三尺長。形容非常貪饞。※語或本漢．賈誼《新書．卷四．匈奴》。後用「垂涎三尺」比喻看見別人的東西極想據為己有。,形容非常貪饞。＆比喻看見別人的東西極想據為己有。,看到好吃的或別人的東西，流口水般非常想要，想拿來當自己的。
807,窮途末路,「窮途」，路的盡頭。語出北周．王褒〈與周弘讓書〉。「末路」，朝代的末期。語出漢．鄒陽〈上書吳王〉。「窮途末路」形容無路可走，處於十分窮困的境況。,形容無路可走，處於十分窮困的境況。,走到沒有路可以走，沒有辦法也沒有希望，覺得很絕望。
808,和衷共濟,"「和衷」，同心。語出《書經．皋陶謨》。「共濟」，供給渡水。語出《國語．魯語下》。「和衷共濟」比喻彼此同心共渡難關。
△「同心同德」、「同心協力」、「戮力同心」",比喻彼此同心共渡難關。,大家想法一樣，互相幫忙，一起渡過困難，不放棄對方。
809,鏡花水月,「鏡花水月」之「花」，典源作「像」，謂影像。鏡中的影像，水裡的月亮。比喻虛幻不實在。＃語本《遠什大乘要義問答．卷上．辯法身如幻常光泥洹三義》。,比喻空幻不實在。,看起來像真的，但摸不到、也不存在的東西或景象。
810,侃侃而談,形容說話從容不迫的樣子。語本《論語．鄉黨》。,形容說話從容不迫的樣子。,說話時不緊張，也不著急，慢慢把想法說清楚，有條理
811,一衣帶水,形容江流狹窄有如一條衣帶。語出《南史．卷一○．陳本紀下》。後亦泛指江河阻隔不足以限制交往。,形容江流狹窄有如一條衣帶。＆泛指江河阻隔不足以限制交往。,兩地只隔一條很窄的河，離得很近，可以常去找對方或聯絡。
812,門當戶對,形容結親的雙方家庭經濟和社會地位相當。語本《三國志．卷五．魏書．后妃傳．文德郭皇后》。,形容結親的雙方家庭經濟和社會地位相當。,指兩家結婚時，家裡的錢和社會地位差不多，彼此合得來。
813,融會貫通,形容將各種相關的知識或事物加以融合、貫穿，進而獲得全面通徹的領會。語出宋．朱熹〈答姜叔權書〉其一。,形容將各種知識或事物加以融合、貫穿，進而獲得全面通徹的領會。,把學過的不同知識連在一起，弄懂整個道理並能活用。
814,劍拔弩張,"(一)劍已拔出，弓已上弦，是搏鬥就要開始的現象。形容形勢緊張或聲勢逼人。語本《漢書．卷九九．王莽傳下》。
△「一觸即發」、「兵接弩張」
(二)形容書法筆力雄健。語出南朝梁．袁昂《古今書評》。",形容形勢緊張或聲勢逼人。＆形容書法筆力雄健。,形容氣氛非常緊張，好像馬上就會打起來；也可說筆畫有力、剛健。
815,管窺蠡測,"蠡，用瓠瓜做成的水瓢。「管窺蠡測」是指透過管子看天，用水瓢測量海水。比喻見識淺陋狹窄。語本《漢書．卷六五．東方朔傳》。
△「管中窺豹」、「以管窺天」。",比喻見識淺陋狹窄。,眼界很狹小，只看到一小部分就以為懂全部。
816,明知故犯,形容明明知道不對，卻故意去做。語本宋．陳世崇《隨隱漫錄》卷一。,形容明明知道不對，卻故意去做。,明明知道是錯的，還故意去做，不聽勸告也不改。
817,壽終正寢,指男子享盡天年，在家中自然死亡。＃語本《穀梁傳．莊公三十二年》。後亦用「壽終正寢」比喻事物的消亡。,男子享盡天年，在家中自然死亡。＆比喻事物的消亡。,年紀大了，在家安詳自然去世，也可以用在事物自然結束時。
818,落花流水,凋零的落花隨著流水漂走，形容暮春殘敗的景象。※＃語或出唐．李群玉〈奉和張舍人送秦鍊師歸岑公山〉詩。後亦用「落花流水」形容零落殘敗，雜亂的景象。,形容暮春殘敗的景象。＆形容零落殘敗，雜亂的景象。,形容花瓣落在水裡被沖走，景色零亂又很冷清。
819,江河日下,江河之水日益奔流而下。比喻情況日漸敗壞。※語或本宋．蘇轍《欒城應詔集．卷六．進君術策五道．第五道》。,比喻情況日漸敗壞。,情況一天比一天更差，越來越糟，需要想辦法改善。
820,腦滿腸肥,"頭部豐滿，肚腹肥胖。形容飽食終日，無所用心，以致徒有外觀而實無內涵。語本《北齊書．卷一二．武成十二王列傳．琅邪王儼》。
△「大腹便便」",頭部豐滿，肚腹肥胖。＆形容飽食終日，無所用心，以致徒有外觀而實無內涵。,頭和肚子圓圓的，整天只會吃，不用心做事，外表好看卻沒本事。
821,色厲內荏,"荏，怯懦。「色厲內荏」形容人外表嚴厲而內心怯懦。語出《論語．陽貨》。
△「外強中乾」、「穿窬之盜」",外表嚴厲而內心怯懦。,外表看起來很凶很厲害，但心裡很害怕，不敢做事。
822,耳提面命,"比喻懇切教誨。語本《詩經．大雅．抑》。
△「三令五申」",比喻懇切教誨。,長輩或老師親自反覆叮嚀你要注意學習和行為。
823,萍水相逢,浮萍漂浮水面，聚散不定。比喻兩個人本來不相識，因機緣巧合偶然相逢，同時亦指交情尚屬微淺。語出唐．王勃〈秋日登洪府滕王閣餞別序〉。,比喻兩個人本來不相識，因機緣巧合偶然相逢，亦指交情尚屬微淺。,兩個本來不認識的人，偶然在路上碰面，關係還很淺。
824,愁眉不展,"雙眉緊鎖，很憂愁的樣子。※語或出唐．姚鵠〈隨州獻李侍御〉詩二首之二。
△「愁眉苦臉」",雙眉緊鎖，很憂愁的樣子。,眉毛緊緊皺在一起，臉上看起來很擔心、難過。
825,體無完膚,全身上下沒有一塊完好的皮膚。形容受傷慘重，全身都是傷痕。語本《世語》。後亦用「體無完膚」比喻遭人批評、駁斥得一無是處，面目全非。,形容受傷慘重。＆比喻遭人批評、駁斥得一無是處，面目全非。,全身受傷很嚴重，或被別人罵得很慘，名聲被弄壞。
826,視死如歸,"把犧牲生命看成是回到自己的家一般，形容為了理想而不怕犧性生命，無所畏懼。語出《管子．小匡》。
△「視死如飴」",形容為了理想而不怕犧性生命，無所畏懼。,為了理想，願意捨棄生命而不怕死，很勇敢。
827,虛懷若谷,心胸寬廣如山谷能容納萬物。◎語本《老子》第一五章。後用「虛懷若谷」形容為人謙虛，能接納他人的意見。,形容為人謙虛，能接納他人的意見。,心裡很謙虛，願意聽別人的意見，接受不同看法。
828,無出其右,古時以右為尊，「無出其右」指沒有人能勝過他，為推許之詞。＃語本《史記．卷一○四．田叔列傳》。,指沒有人能勝過他。,沒有人能比他更厲害，沒有一個人能勝過他喔。
829,三人成虎,連續三人說街上出現老虎，就使人相信街上真有老虎。比喻謠言再三重複，亦能使人信以為真。＃典出《戰國策．魏策二》。,比喻謠言再三重複，亦能使人信以為真。,謠言說了很多次，大家久了就會信以為真啊。
830,勞燕分飛,伯勞和燕子離散飛走。語本樂府古辭〈東飛伯勞歌〉。比喻別離，多用於夫妻、情人之間。,比喻別離，多用於夫妻、情人之間。,夫妻或情人分開，各自走開，心裡很難過，不再在一起。
831,風吹草動,風吹起，草木搖動。比喻輕微的動靜變化。※語或出敦煌變文《伍子胥變文》。,風吹起，草木搖動。＆比喻輕微的動靜變化。,風吹草會輕輕晃，意思是事情有小小動靜，要注意。
832,倚老賣老,自以為年紀大，閱歷豐富，而看不起別人。※語或出元．無名氏《謝金吾》第一折。,自以為年紀大，閱歷豐富，而看不起別人。,年紀比較大就常說自己經驗多，於是看不起別人
833,無中生有,"道家認為「有」是從「無」產生出來的。語本《老子》第四○章。後來語義一轉，用「無中生有」指本無其事，憑空捏造。
△「捕風捉影」",指本無其事，憑空捏造。,把根本沒發生的事，憑空編出來，讓別人相信是真的。
834,釜底抽薪,"釜，鍋子。薪，柴火。「釜底抽薪」指從鍋底抽掉柴火。比喻從根本上解決問題。※＃語或本《呂氏春秋．季春紀．盡數》。後亦用「釜底抽薪」比喻從源頭斷絕。
△「揚湯止沸」",比喻從根本上解決問題。＆比喻從源頭斷絕。,把造成麻煩的根本原因去掉，問題就不會再發生。
835,唾手可得,"唾手，往手上吐唾沫。「唾手可得」比喻事物很容易得到。語本晉．司馬彪《九州春秋》。
△「拱手而取」",比喻事物很容易得到。,說的是東西很容易拿到，幾乎不用努力就能得來。
836,狼狽不堪,比喻處境窘迫，進退兩難。※語或本《三國志．卷三六．蜀書．關張馬黃趙傳．馬超》。後亦用「狼狽不堪」來比喻身心疲憊困頓。,比喻處境窘迫，進退兩難。＆比喻身心疲憊困頓。,遇到很麻煩的情況，沒法前進也退不了，又身心很疲累。
837,運籌帷幄,籌，計數的器具。帷幄，軍旅中的帳幕。「運籌帷幄」指在軍帳中出謀策劃。＃語出《史記．卷一三○．太史公自序》。後用「運籌帷幄」比喻謀劃策略。,比喻謀劃策略。,在後方想好作戰或工作計畫，安排步驟和策略給隊伍
838,狹路相逢,在狹窄的路上相遇，不易避讓。＃語本樂府古辭〈相逢行〉。後用「狹路相逢」比喻仇人相遇。,比喻仇人相遇。,兩個互相有怨的人在狹窄的路上碰面，沒辦法閃開只好面對。
839,神魂顛倒,"比喻精神恍惚，心意迷亂。※語或出《醒世恆言．卷一六．陸五漢硬留合色鞋》。
△「夢魂顛倒」",比喻精神恍惚，心意迷亂。,心思完全被某人或某事吸走，精神不清，做事亂了。
840,鬼斧神工,"像是鬼神製作出來的。形容技藝精巧，達到鬼神靈妙的境界。語本《莊子．達生》。
△「出神入化」、「巧奪天工」",形容技藝精巧，達到鬼神靈妙的境界。褒義。,說人的手藝或作品很精巧，好像神鬼做出來，讓人覺得很厲害。
841,高談闊論,"「高談闊論」典源作「高譚清論」。本指見地高超、範圍廣闊地談論。語本《東觀漢記．卷一八．趙勤列傳》。後來也用「高談闊論」比喻暢快而無拘束地談論。或沒有實質內容，空泛而漫無邊際地談論。
△「迂談闊論」、「高談弘論」、「高談危論」、「高談虛論」",比喻暢快而無拘束地談論。＆比喻沒有實質內容，空泛而漫無邊際地談論。,很大聲、講很多又不受限制，但常沒有實際內容喔。
842,流離失所,"「流離」，流亡離散。◎語出《漢書．卷二四．食貨志上》。「失所」，無處安身。＃語出漢．李陵〈與蘇武〉詩三首之一。「流離失所」形容轉徙離散，無處安身。
△「百六之會」、「陽九之阸」、「顛沛流離」",形容轉徙離散，無處安身。,被迫到處流浪，沒有固定的家，沒地方可以住下來。
843,莫衷一是,"形容眾說紛紜，無法得到一致的結論。※語或出清．黃協塤《鋤經書舍零墨．卷三．落英》。
△「衷諸壹是」",形容眾說紛紜，無法得到一致的結論。,大家的意見不一，說法很多，沒辦法選出一個大家都同意的答案。
844,掌上明珠,捧在手掌上的一顆明珠，比喻極為珍愛的人或物。語本晉．傅玄〈短歌行〉。後多指愛女。,比喻極為珍愛的物品。＆指愛女。,把最愛的人或東西像捧在手心的寶貝一樣珍惜，常用來稱愛女。
845,提綱挈領,「提綱」，提起魚網的總繩。語本《韓非子．外儲說右下》。「挈領」，提起衣服的領子。語本《荀子．勸學》。「提綱挈領」比喻抓住事理的重點。,比喻抓住事理的重點。,抓住事情最重要的地方，清楚知道該注意的要點。
846,無病呻吟,沒有生病但卻發出呻吟聲。語出宋．辛棄疾〈臨江仙．老去渾身無著處〉詞。後用「無病呻吟」比喻人故作憂戚狀或妄發牢騷。也諷喻文辭的矯揉造作，言不由衷。,比喻人故作憂戚狀或妄發牢騷。＆諷喻文辭的矯揉造作，言不由衷。,沒有真的難過或生病，卻裝痛苦抱怨，像在演戲。
847,喧賓奪主,「喧賓奪主」之「賓」，典源作「客」。喧，喧騰。「喧賓奪主」指賓客聲勢強大，占了主人的位置，反客為主。※＃語或本清．趙翼《廿二史劄記．卷九．宋齊梁陳書．宋齊書帶敘法》。,指賓客聲勢強大，占了主人的位置，反客為主。,客人在場說話、做事太多，反而像主人一樣掌控場面。
848,虛有其表,"形容空有華麗的外表，卻無實際的內涵。語出唐．鄭處誨《明皇雜錄》卷下。
△「金玉其外，敗絮其中」、「華而不實」",形容空有華麗的外表，卻無實際的內涵。貶義。,外表看起來很漂亮或很厲害，但裡面沒有真正的東西或本事。
849,搖尾乞憐,"狗搖著尾巴，以討主人歡心。形容人有所請求，卑躬屈膝向人討好。語出唐．韓愈〈應科目時與人書〉。
△「俛首帖耳」、「搖尾求食」",形容人有所請求，卑躬屈膝向人討好。,像狗搖尾巴一樣，低聲卑微地討好別人求幫忙或求原諒
850,改過自新,改正過失，重新作人。◎語出《史記．卷一○．孝文本紀》。,改正過失，重新作人。,犯錯後願意承認錯誤，改正做法，努力變好。
851,邯鄲學步,"學習邯鄲人走路的姿勢。比喻模仿不成，反而失去自我。語本《莊子．秋水》。
△「井底之蛙」、「以管窺天」",比喻模仿不成，反而失去自我。,學別人的樣子，模仿不成功，反而連自己的本事都丟了。
852,月下老人,指主管男女婚姻的神。語本唐．李復言《定婚店》。後亦指媒人。,指主管男女婚姻的神。＆指媒人。,月下老人是掌管男女結婚的神，也用來稱呼介紹男女相親的媒人。
853,馬首是瞻,"瞻，看。「馬首是瞻」指士兵依據主將的馬頭來決定前進的方向，比喻服從指揮或跟隨他人進退。語出《左傳．襄公十四年》。
△「塞井夷灶」",比喻服從指揮或跟隨他人進退。,跟著領隊的方向往前走，聽從他指揮一起行動。
854,疲於奔命,「疲於奔命」之「疲」，典源作「罷」。「罷」通「疲」。指不斷接到命令而忙碌奔走，精疲力盡。◎語本《左傳．成公七年》。後用「疲於奔命」形容事情繁多，奔波勞累。,形容事情繁多，奔波勞累。,忙得不停跑來跑去，接很多事情，累得沒力氣。
855,害群之馬,比喻危害大眾的人。語本《莊子．徐无鬼》。,比喻危害大眾的人。貶義。,團隊裡有人做壞事，會害到大家，讓大家很麻煩。
856,鹿死誰手,誰，文言音讀ㄕㄨㄟˊ，一般口語讀為ㄕㄟˊ。「鹿死誰手」本意為以追逐野鹿比喻誰能奪得天下。鹿為古代狩獵之主獵物，比喻政權。後多用於競爭比賽，誰能獲勝。語出《晉書．卷一○五．石勒載記》。,比喻互相競爭，誰能取得最後的勝利。,說的是在比賽或爭鬥時，大家互相比，誰會贏還沒定。
857,捨生取義,"「捨生取義」之「捨」，典源作「舍」。「舍」同「捨」。「捨生取義」指為正義真理而不惜犧牲生命。語本《孟子．告子上》。
△「殺身成仁」",指為正義真理而不惜犧牲生命。,為了正義和他人，不怕死，願意用生命去做對的事。
858,學富五車,"讀過的書可以裝滿五大車。形容人書讀很多，學識廣博。語本《莊子．天下》。
△「大同小異」",形容人書讀很多，學識廣博。,讀過很多書，知道很多事，學識很豐富的人。
859,集思廣益,集結眾人的智慧，廣泛吸收有益的意見。語本《三國志．卷三九．蜀書．董劉馬陳董呂傳．董和》。,集結眾人的智慧，廣泛吸收有益的意見。,把大家的意見都聽一聽，找出有用的想法，讓決定更好。
860,鶉衣百結,「鶉衣」，衣服像鶉鳥的尾巴一樣，短禿不全。語本《荀子．大略》。「百結」，將碎布拼接成衣。語出晉．王隱《晉書》。「鶉衣百結」形容衣服破爛不堪。,形容衣服破爛不堪。,衣服破破爛爛，補了又補，像用很多碎布拼起來穿的。
861,期期艾艾,「期期」，口吃重言的樣子。語出《史記．卷九六．張丞相列傳》。「艾艾」，口吃重言的樣子。＃語出晉．裴啟《語林》。「期期艾艾」形容口吃結巴的樣子。,形容口吃結巴的樣子。,講話時一句一句停、又重複，說不順、結巴。
862,殃及池魚,殃，災禍。「殃及池魚」，指禍連池中魚。比喻無故受到牽累。典出《呂氏春秋．孝行覽．必己》。,比喻無故受到牽累。,本來沒做錯事的人，因別人的麻煩被連累受害。
863,患得患失,"在沒得到以前怕得不到，得到以後又怕失去。形容人的得失心很重。語本《論語．陽貨》。
△「無所不至」",形容人的得失心很重。,一直擔心拿不到，拿到後又怕會失去，心裡很不安。
864,瞻前顧後,瞻，向前看。顧，回頭看。「瞻前顧後」指看看前面再看看後面，形容做事謹慎周密。後用來形容檢討過去、計畫未來，也用於形容做事猶豫不決，顧慮太多。語出戰國楚．屈原〈離騷〉。,形容做事謹慎周密。褒義。＆做事猶豫不決，顧慮太多。貶義。,看前後、做事很小心周到；也可指太猶豫、擔心很多。
865,長袖善舞,衣袖長，有益於作舞，比喻做事有所憑藉，而易於成功。語出《韓非子．五蠹》。後亦用「長袖善舞」比喻有財勢，有手腕，善於社交或鑽營取巧。,比喻手腕極佳，善於社交。,有背景和關係，會跟別人打交道，懂得用方法讓事情順利
866,樹倒猢猻散,猢猻，猴子。「樹倒猢猻散」指樹倒了，原本棲息在上面的猴子也跟著四散。比喻有權勢的人一旦失勢，其依附者隨即散去。語出宋．龐元英《談藪》。,比喻有權勢的人一旦失勢，其依附者隨即散去。,有權力的人沒了地位，靠他的人就都跑掉了。
867,靡靡之音,"靡靡，頹廢淫蕩。「靡靡之音」指頹廢淫蕩、足以使人喪志的音樂。語本《韓非子．十過》。
△「亡國之音」、「桑間濮上」",指頹廢淫蕩、足以使人喪志的音樂。,會讓人變得懶散、沒鬥志、沉迷的不良音樂。
868,疾言厲色,指言語急迫，神色嚴厲。形容人發怒的樣子。＃語本《後漢書．卷二五．卓魯魏劉列傳．劉寬傳》。,言語急迫，神色嚴厲。形容人發怒的樣子。,說話急促又嚴肅，臉色很凶，好像很生氣的樣子。
869,立錐之地,豎立錐子的地方。比喻極微小的地方。常用「無立錐之地」表示無可容身之處。＃語本《莊子．盜跖》。,比喻極微小的地方。,指地方非常非常小，連一根針都立不下去，沒地方站。
870,亭亭玉立,形容女子身材修長美麗。亭亭，高聳直立的樣子。＃語本漢．蔡邕〈協初賦〉。後亦用「亭亭玉立」形容花木、山峰等的挺拔姿勢。,形容女子身材修長美麗。＆形容花木、山峰等的挺拔姿勢。,形容女子或花木身材修長、挺拔又優雅，看起來很美。
871,天作之合,天意撮合的婚姻，比喻美滿良緣，多用為新婚賀詞。語出《詩經．大雅．大明》。後亦用「天作之合」指自然形成的伙伴。,天意撮合的婚姻，比喻美滿良緣。,說兩個人很合適，好像天幫他們配在一起，結婚很幸福。
872,淋漓盡致,淋漓，溼透的樣子。「淋漓盡致」形容語言或文章表達得非常透澈。※語或出明．李清《三垣筆記．卷上．崇禎補遺》。後亦用「淋漓盡致」形容表現生動逼真。,形容語言或文章表達得非常透澈。＆形容表現生動逼真。,把話或文章說得很清楚、生動，讓人記得很久。
873,包羅萬象,"包羅，包含網羅。萬象，各式各樣的事物。「包羅萬象」形容內容豐富，應有盡有。※語或出無名氏〈黃帝宅經序〉。
△「森羅萬象」",形容內容豐富，應有盡有。,東西種類很多，各種都有，能找到想要的喔。
874,迫不及待,情況急迫，不能再等。※語或出明．王夫之《讀通鑑論．卷二四．唐德宗》。後亦用「迫不及待」形容心情急切，不願等待。,形容心情急切，不願等待。,心裡急得等不及，想馬上做那件事或立刻知道結果。
875,海誓山盟,誓言盟約如山海般堅固持久，永恆不變。語本《史記．卷一八．高祖功臣侯者年表》唐．司馬貞索隱述贊。,誓言盟約如山海般堅固持久，永恆不變。,兩人互相許下永遠不變的承諾，像山海一樣堅定。
876,仁至義盡,原指祭祀農事諸神及相關事物，極盡仁義之道。語本《禮記．郊特牲》。後用「仁至義盡」形容對他人盡最大的努力關懷照顧。,形容對他人盡最大的努力關懷照顧。,對別人用盡心力，盡可能地照顧、幫忙和關心對方每個需要。
877,悲天憫人,憂傷時局多變，哀憐百姓疾苦。語本唐．韓愈〈爭臣論〉。,憂傷時局多變，哀憐百姓疾苦。,看到社會動盪、大家受苦，覺得很難過，想幫忙。
878,面面俱到,"形容各方面都照顧到。※語或出清．梁章鉅《楹聯叢話．卷三．廟祀上》。
△「八面玲瓏」",形容各方面都照顧到。,把每一個部分都想到了，沒有漏掉任何地方或是小地方
879,借刀殺人,借別人的刀來殺人，比喻假他人之手去害人。※語或出明．汪廷訥《三祝記．卷上．造陷》。,比喻假他人之手去害人。,用別人的手去傷害或陷害別人，自己不露面承擔責任。
880,不見經傳,以往的典籍中從未記載過。經傳，指經典和解釋經典內容的著作，後用作典籍的代稱。「不見經傳」比喻沒有名氣。語本《史記．卷六七．仲尼弟子列傳．序》。亦用於比喻缺乏根據，沒有來歷。,比喻沒有名氣。＆比喻缺乏根據，沒有來歷。,沒有人知道來歷，沒有名氣，也找不到可信的證明。
881,半斤八兩,舊制一斤為十六兩，半斤和八兩輕重相等。比喻彼此相當，不相上下。※＃語或出宋．無名氏《永樂大典戲文三種．張協狀元．第二八齣》。,比喻彼此相當，不相上下。,兩個人或兩樣東西差不多，沒有誰比較好，各有優缺點。
882,浮光掠影,"「浮光掠影」之「掠」，典源作「略」，「略」通「掠」，為輕拂、輕拭而過的意思。「浮光掠影」指「表面反射的光」和「一閃而過的影子」，用來比喻見識粗淺，不夠仔細深入。※語或出清．馮班《鈍吟雜錄》卷五。後亦用「浮光掠影」比喻文章言論的內容膚淺空泛。有時也用來形容印象不深刻。
△「走馬看花」、「浮光漾影」",比喻見識粗淺，不夠仔細深入。＆比喻文章或言論的內容膚淺空泛。＆形容印象不深刻。,指看事物很表面、不夠仔細、沒深入了解，印象很淺。
883,無所事事,事事，做事。前一個「事」是動詞，後一個是名詞。「無所事事」，什麼事也不做，形容閒蕩無事的樣子。語本《史記．卷五四．曹相國世家》。,形容閒蕩無事的樣子。,沒事做，整天在家閒晃，不做功課也不幫忙。
884,無的放矢,"沒有目標而胡亂放箭，比喻言語或行動沒有目的。語本唐．劉禹錫〈答容州竇中丞書〉。後亦用「無的放矢」比喻毫無事實根據而胡亂地指責、攻擊別人。
△「有的放矢」",比喻言語或行動沒有目的。＆比喻毫無事實根據而胡亂的指責、攻擊別人。,沒有目標就亂說亂做，還常常沒有根據指責別人。
885,猶豫不決,"遲疑不定，無法拿定主意。※語或本《戰國策．趙策三》。
△「優柔寡斷」",遲疑不定，無法拿定主意。,一直想來想去，拿不定主意，最後做不出決定。
886,山高水長,"(一)彼此間有高山、大河阻隔。形容距離遙遠。語出唐．劉禹錫〈望賦〉。
(二)像山一樣的高聳，像水一樣的長流。比喻人品高潔，垂範久遠。語出宋．范仲淹〈桐廬郡嚴先生祠堂記〉。後亦用「山高水長」比喻情誼或恩德深厚，或形容山水景色秀麗。",比喻人品高潔，垂範久遠。＆比喻情誼或恩德深厚。＆形容山水景色秀麗。,表示人很高尚、恩情很深，或山水風景很美又綿長。
887,秋毫無犯,秋毫，秋天鳥獸所生的細毛。「秋毫無犯」指連細微的秋毫都不侵犯，比喻對任何東西都不侵犯、不動用。◎語本《史記．卷七．項羽本紀》。,比喻對任何東西都不侵犯、不取用。,連最小的東西都不碰、不拿，完全不偷別人的東西。
888,小家碧玉,碧玉，女子名。「小家碧玉」指小戶人家的女兒。語本無名氏〈碧玉歌〉。後用「小家碧玉」指平常人家年輕貌美的少女。,指平常人家年輕貌美的 少女。,形容平常家庭出身、年輕漂亮又文靜有氣質的少女。
889,世態炎涼,「世態」，指世俗情態。語出唐．呂從慶〈偶興〉詩。「炎涼」，即冷暖。語出唐．白居易〈和答詩十首．和松樹〉。「世態炎涼」比喻世俗情態反覆無常。,比喻世俗情態反覆無常。,人對別人的態度常常變，有需要時很熱情，沒需要時就很冷淡。
890,八拜之交,八拜，行禮八次，古時對父執輩所行的禮節。「八拜之交」指結拜為異姓兄弟姊妹的朋友。※語或出元．王實甫《西廂記．第一本．第一折》。,指結拜為異姓兄弟姊妹的朋友。,八拜之交是結拜成為沒有血緣但像兄弟姊妹的朋友。
891,萬象更新,「萬象更新」，典源作「萬象新」。大自然界的事物或景象都改變得煥然一新。語本唐．薛能〈新雪八韻〉詩。,表示大自然界的事物或景象都改變得煥然一新。,說大自然或景色全部變了，看起來很新很不一樣。
892,三姑六婆,三姑，尼姑、道姑、卦姑；六婆，牙婆、媒婆、師婆、虔婆、藥婆、穩婆。指古代婦女所從事的職業名稱。語本元．陶宗儀《南村輟耕錄．卷一○．三姑六婆》。後用「三姑六婆」比喻愛搬弄是非的婦女。,比喻愛搬弄是非的婦女。貶義。,指愛說別人壞話、傳播流言、愛管閒事的女人，帶貶義。
893,死有餘辜,辜，罪。「死有餘辜」形容罪惡深重，死都不足以抵罪。語出《漢書．卷五一．賈鄒枚路傳．路溫舒》。,形容罪惡深重，死都不足以抵罪。貶義。,做了很嚴重的壞事，死了也還不夠受罰，真的。
894,罪不容誅,"即使一死也抵償不了所犯的罪行。比喻罪大惡極。語本《孟子．離婁上》。
△「殺人盈城」、「殺人盈野」",比喻罪大惡極。貶義。,做了非常嚴重、不能原諒的壞事，死也無法彌補。
895,古色古香,形容具有古舊典雅色彩和情調的書畫、或造型仿古的器物、建築、藝術品等。＃語本宋．趙希鵠《洞天清祿集》。,形容具有古舊典雅色彩和情調的書畫、或造型仿古的器物、建築、藝術品等。,看起來有古老、典雅的風格，像老房子或古畫。
896,半路出家,比喻中途轉業改行。※語或出《京本通俗小說．錯斬崔寧》。後亦用「半路出家」比喻成年後才出家為僧為尼。,比喻中途轉業改行。＆比喻成年後才出家為僧為尼。,中途換工作或改學別的本領，也可指長大後才去當和尚或尼姑。
897,如喪考妣,好像死了父母一般。比喻悲痛至極。語出《書經．舜典》。,比喻悲痛至極。,表示非常非常難過，好像父母突然去世，整個人提不起勁。
898,憤世嫉俗,憤恨不合理的社會現狀，憎恨邪惡的勢力。語本唐．韓愈〈雜說〉四首之三。後用「憤世嫉俗」形容對腐敗的社會現狀及庸俗世態的痛恨。,形容腐敗的社會現狀及庸俗世態的痛恨。,看到社會不公平和壞人欺負別人，覺得很生氣、很難接受。
899,價值連城,"戰國秦昭王願以相連的十五座城池，換取趙國的和氏璧。＃典出《史記．卷八一．廉頗藺相如列傳》。後用「價值連城」形容物品十分珍貴。
△「完璧歸趙」",形容物品十分珍貴。,表示某樣東西很珍貴，價值高到能換很多城池。
900,事過境遷,"事情過了，環境也已改變。※語或本晉．王羲之〈蘭亭集序〉。
△「時過境遷」",事情過了，環境也已改變。,事情已經過去了，情況和周圍的人事都改變，不能用以前的方法。
